Q2,Bjorken X,t,Ebeam,Theta_e,Eprime,Theta_p,p_pi,k_pi,W,Em,Pm,Mm,MMa
4.520000,0.354740,0.163514,10.700000,18.918481,3.910000,2.267988,6.701411,0.000000,3.016967,1.025408,0.544338,0.868998,11.341106
4.520000,0.355263,0.164098,10.700000,18.894113,3.920000,1.474379,6.691097,0.000000,3.013855,1.025719,0.359548,0.960638,11.348779
4.520000,0.355788,0.164685,10.700000,18.869840,3.930000,0.674485,6.680782,0.000000,3.010741,1.026032,0.182385,1.009692,11.353321
4.520000,0.356314,0.165276,10.700000,18.845659,3.940000,0.130121,6.670465,0.000000,3.007622,1.026347,0.089582,1.022430,11.354747
4.520000,0.356842,0.165869,10.700000,18.821572,3.950000,0.937846,6.660147,0.000000,3.004501,1.026663,0.092304,1.022505,11.355042
4.520000,0.357371,0.166466,10.700000,18.797576,3.960000,1.747088,6.649827,0.000000,3.001377,1.026981,0.098659,1.022231,11.355307
4.520000,0.357902,0.167066,10.700000,18.773673,3.970000,2.556245,6.639504,0.000000,2.998249,1.027301,0.108635,1.021541,11.355535
4.520000,0.358435,0.167670,10.700000,18.749860,3.980000,3.363725,6.629181,0.000000,2.995118,1.027622,0.122214,1.020329,11.355719
4.520000,0.358969,0.168276,10.700000,18.726137,3.990000,4.167962,6.618855,0.000000,2.991984,1.027946,0.139368,1.018454,11.355845
4.520000,0.359505,0.168886,10.700000,18.702505,4.000000,4.967422,6.608528,0.000000,2.988846,1.028271,0.160065,1.015736,11.355897
4.520000,0.360042,0.169499,10.700000,18.678961,4.010000,5.760613,6.598199,0.000000,2.985705,1.028597,0.184262,1.011958,11.355857
4.520000,0.360581,0.170116,10.700000,18.655506,4.020000,6.546096,6.587868,0.000000,2.982561,1.028926,0.211913,1.006867,11.355703
4.520000,0.361122,0.170736,10.700000,18.632140,4.030000,7.322495,6.577535,0.000000,2.979413,1.029256,0.242963,1.000169,11.355412
4.520000,0.361664,0.171359,10.700000,18.608861,4.040000,8.088499,6.567201,0.000000,2.976263,1.029589,0.277353,0.991528,11.354956
4.520000,0.362208,0.171986,10.700000,18.585669,4.050000,8.842874,6.556864,0.000000,2.973108,1.029923,0.315015,0.980564,11.354308
4.520000,0.362753,0.172616,10.700000,18.562564,4.060000,9.584463,6.546526,0.000000,2.969951,1.030258,0.355879,0.966842,11.353436
4.520000,0.363301,0.173250,10.700000,18.539544,4.070000,10.312196,6.536186,0.000000,2.966790,1.030596,0.399870,0.949859,11.352310
4.520000,0.363849,0.173887,10.700000,18.516610,4.080000,11.025089,6.525844,0.676263,2.963626,1.030936,0.446907,0.929033,11.350896
4.520000,0.364400,0.174528,10.700000,18.493761,4.090000,11.722246,6.515500,1.070022,2.960458,1.031277,0.496908,0.903668,11.349158
4.520000,0.364952,0.175173,10.700000,18.470996,4.100000,12.402861,6.505154,1.369696,2.957287,1.031621,0.549786,0.872913,11.347064
4.520000,0.365506,0.175821,10.700000,18.448315,4.110000,13.066218,6.494807,1.627931,2.954112,1.031966,0.605451,0.835693,11.344575
